"Date","variable","value","Case"
2013-08-15,"Mleaf",302.742509000224,"0"
2013-08-16,"Mleaf",306.336150895144,"0"
2013-08-17,"Mleaf",310.007201674776,"0"
2013-08-18,"Mleaf",312.833512546352,"0"
2013-08-19,"Mleaf",316.132977903979,"0"
2013-08-20,"Mleaf",319.732167170875,"0"
2013-08-21,"Mleaf",323.586944956865,"0"
2013-08-22,"Mleaf",326.455902614418,"0"
2013-08-23,"Mleaf",328.014253867064,"0"
2013-08-24,"Mleaf",327.935507142426,"0"
2013-08-25,"Mleaf",331.753983733983,"0"
2013-08-26,"Mleaf",335.253977143967,"0"
2013-08-27,"Mleaf",338.701425133841,"0"
2013-08-28,"Mleaf",342.250135591008,"0"
2013-08-29,"Mleaf",345.876349553605,"0"
2013-08-30,"Mleaf",348.565732858728,"0"
2013-08-31,"Mleaf",351.107905598122,"0"
2013-09-01,"Mleaf",353.511491043024,"0"
2013-09-02,"Mleaf",356.775115519516,"0"
2013-09-03,"Mleaf",360.359180329421,"0"
2013-09-04,"Mleaf",363.933578106386,"0"
2013-09-05,"Mleaf",367.528740412122,"0"
2013-09-06,"Mleaf",370.364655125226,"0"
2013-09-07,"Mleaf",372.649837082494,"0"
2013-09-08,"Mleaf",374.764021560059,"0"
2013-09-09,"Mleaf",375.220522526755,"0"
2013-09-10,"Mleaf",377.708054573346,"0"
2013-09-11,"Mleaf",381.24255955541,"0"
2013-09-12,"Mleaf",385.415202152594,"0"
2013-09-13,"Mleaf",390.082365641944,"0"
2013-09-14,"Mleaf",393.293577661038,"0"
2013-09-15,"Mleaf",395.413523933725,"0"
2013-09-16,"Mleaf",399.00771697513,"0"
2013-09-17,"Mleaf",396.518081114845,"0"
2013-09-18,"Mleaf",399.920347652131,"0"
2013-09-19,"Mleaf",403.880817911466,"0"
2013-09-20,"Mleaf",409.350386774918,"0"
2013-09-21,"Mleaf",414.82839673815,"0"
2013-09-22,"Mleaf",420.198084383409,"0"
2013-09-23,"Mleaf",424.349836124798,"0"
2013-09-24,"Mleaf",428.686538182603,"0"
2013-09-25,"Mleaf",429.952106004573,"0"
2013-09-26,"Mleaf",433.235352022149,"0"
2013-09-27,"Mleaf",437.655959660799,"0"
2013-09-28,"Mleaf",443.309684368527,"0"
2013-09-29,"Mleaf",447.829504902996,"0"
2013-09-30,"Mleaf",452.905278831326,"0"
2013-10-01,"Mleaf",456.669381871889,"0"
2013-10-02,"Mleaf",457.491084673259,"0"
2013-10-03,"Mleaf",462.717409255243,"0"
2013-10-04,"Mleaf",464.67861321095,"0"
2013-10-05,"Mleaf",470.308911529439,"0"
